file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"111297.34095478058 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,264,77.14,77.65,46,402,23.15,23.93,173
"111345.60297679901 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,221,72.74,73.16,47,392,19.44,20.19,157
"111393.12095403671 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,246,73.28,73.75,44,435,23.57,24.41,172
"111441.5579752922 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,236,74.65,75.11,44,405,23.08,23.86,173
"111489.34399461746 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,240,72.88,73.34,46,360,17.84,18.53,173
"111537.87799263 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,297,71.6,72.17,47,418,21.92,22.73,173
"111585.14694166183 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,290,65.99,66.55,47,397,19.24,20.0,173
"111633.50594043732 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,348,83.56,84.23,47,356,25.96,26.64,172
"111681.29493999481 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,316,84.62,85.23,63,121,5.63,5.87,126
"111731.17898321152 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,263,88.78,89.28,47,175,7.82,8.16,142
"111777.04597139359 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,166,92.17,92.49,31,192,7.87,8.24,142
"111827.50299406052 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,231,87.74,88.19,43,200,8.61,9.0,141
"111873.0799460411 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,135,93.92,94.18,31,154,6.64,6.94,141
"111923.24794578552 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,228,89.27,89.71,31,214,9.23,9.64,157
"111969.08197259903 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,186,92.67,93.02,31,159,7.28,7.59,140
"112017.12995433807 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,122,94.93,95.16,32,159,7.11,7.42,141
